Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2023-07-05,3131.883544921875,3140.4209323591585,3117.7804690438625,3131.9307586159225,1453008
2023-07-06,3134.666259765625,3139.9019127533375,3114.9502825665704,3119.2425829550803,1848238
2023-07-07,3140.65625,3166.739853997233,3114.949894871217,3114.949894871217,1789326
2023-07-10,3086.602294921875,3136.4113550593956,3080.234665281556,3136.4113550593956,1407431
2023-07-11,3087.026611328125,3108.346469831204,3076.083860576728,3108.346469831204,1110172
2023-07-12,3075.23486328125,3102.8279251683052,3065.990192606951,3095.0924803766343,1515240
2023-07-13,3151.31689453125,3176.692989928126,3087.3575356834262,3097.9702535129086,4585146
2023-07-14,3315.553955078125,3325.1763353579863,3162.1177546049926,3174.3813377821602,6306101
2023-07-17,3293.904052734375,3348.8071250815974,3280.084030001309,3311.1674504613097,2743228
2023-07-18,3298.762451171875,3324.374380738022,3268.7165803794683,3279.093458412419,2600090
2023-07-19,3273.480712890625,3317.629660325243,3250.462771424541,3301.734077001687,2405370
2023-07-20,3275.608642578125,3290.3630716712737,3249.8354394909547,3265.961471457686,1715404
2023-07-21,3185.75732421875,3248.7478440814666,3177.008621662018,3219.5698773434174,3770223
2023-07-24,3210.773681640625,3228.460200845462,3189.351276356865,3197.7688541503653,1680132
2023-07-25,3214.935302734375,3222.170854772474,3197.012331180356,3213.3748157175096,1272980
2023-07-26,3204.67333984375,3235.4593600269927,3201.552135007321,3216.070344142901,1066803
2023-07-27,3212.806884765625,3226.7575170811656,3201.5992271798964,3210.962610065145,1701769
2023-07-28,3173.556396484375,3209.780801467894,3150.478829455028,3201.5523379481447,2599831
2023-07-31,3236.0263671875,3240.9445098873553,3178.7577946996307,3182.0681141392815,2743678
2023-08-01,3264.96826171875,3272.487370043149,3229.9261181206225,3229.9261181206225,1956167
2023-08-02,3254.186279296875,3259.624662055089,3228.602419918517,3248.7952330054336,1914899
2023-08-03,3215.69189453125,3247.187269063804,3185.473449998366,3234.655344119481,2026351
2023-08-04,3256.92919921875,3282.8915189821096,3216.9215727277156,3216.9215727277156,2248493
2023-08-07,3295.234130859375,3298.970016892691,3254.7536039655884,3266.7652892098595,1853889
2023-08-08,3282.512939453125,3300.814138886749,3269.271661328521,3295.2339783266348,1634225
2023-08-09,3274.851806640625,3279.107931732288,3239.4314340041433,3277.12164765902,1794589
2023-08-10,3255.5576171875,3277.1218005973083,3244.1606132838087,3263.0293892221785,1096701
2023-08-11,3261.89453125,3278.7770233463493,3228.980448858281,3251.7744571030394,1679974
2023-08-14,3262.8876953125,3267.758502018246,3226.143053656798,3254.2334351188592,1190425
2023-08-16,3270.974365234375,3278.1625809725333,3249.031719010477,3263.0296896581763,1328445
2023-08-17,3249.551513671875,3273.2439895758225,3228.223551712242,3267.7582710430993,1843241
2023-08-18,3184.622314453125,3225.1972847033007,3174.5966821427064,3225.1972847033007,2526749
2023-08-21,3217.299560546875,3224.9606783508807,3189.256516577218,3192.093933406913,1375579
2023-08-22,3198.8564453125,3226.1430303250795,3182.683307452924,3215.739168309959,1222012
2023-08-23,3214.083740234375,3217.6305110799217,3193.039566550798,3204.3892332565474,1330046
2023-08-24,3204.1533203125,3228.0822511535316,3195.0263875000383,3223.3058860969672,1152881
2023-08-25,3198.052490234375,3202.3086153928157,3168.6851804592197,3192.093868830644,1158046
2023-08-28,3192.6142578125,3210.064325598555,3178.0016069318062,3210.064325598555,1037485
2023-08-29,3193.181640625,3205.855574832094,3182.636000031818,3197.8162268379574,944517
2023-08-30,3207.179443359375,3223.40014789566,3199.7076715059848,3213.8474190009583,1188200
2023-08-31,3174.88037109375,3232.196053475571,3162.442888567847,3216.6849335751754,3417652
2023-09-01,3196.06591796875,3205.3348581044584,3174.8799670096005,3183.581331478196,1277950
2023-09-04,3233.236572265625,3246.8089755295628,3187.412335303978,3194.9314439412847,1828332
2023-09-05,3243.49853515625,3260.191911675821,3220.6098548490877,3234.6551604094307,1501842
2023-09-06,3244.018310546875,3257.2595880304025,3213.9418792762212,3247.8962056023015,1314818
2023-09-07,3267.994873046875,3272.4874497481187,3236.8306240064776,3244.869971787651,1885092
2023-09-08,3255.367919921875,3277.2161197507,3248.889290669541,3267.9945159505355,1518917
2023-09-11,3292.01806640625,3296.794430718911,3258.3001901837038,3274.3788848812724,1783604
2023-09-12,3386.74072265625,3395.3474150298325,3294.240889231488,3302.7531395912592,4476016
2023-09-13,3374.49267578125,3394.3545938136126,3352.880924986968,3377.5665440481635,1754929
2023-09-14,3367.115234375,3402.724722448377,3353.4483897915056,3376.5732902680156,2604721
2023-09-15,3403.292236328125,3411.8518229376905,3369.3850142039287,3374.4925028390953,2952897
2023-09-18,3410.716796875,3423.1542791511733,3381.4914959863354,3386.0314090812585,1395753
2023-09-20,3410.622802734375,3428.5457751563754,3385.9845172578825,3385.9845172578825,1649396
2023-09-21,3390.996826171875,3409.6291501028677,3336.8021197123207,3394.07069433771,2004073
2023-09-22,3408.3525390625,3436.8213823333144,3371.8445784385076,3389.767549854172,1989083
2023-09-25,3383.28857421875,3423.816438513607,3365.7911697677823,3407.2648397086377,1238778
2023-09-26,3391.375244140625,3400.123946328617,3344.3687499178695,3374.256300567167,1726062
2023-09-27,3394.780029296875,3418.141381042953,3363.000869306307,3395.442047023852,1541134
2023-09-28,3345.077880859375,3407.5483855217467,3336.187400782379,3404.9000837191634,1755753
2023-09-29,3337.369873046875,3375.0600892481143,3315.569006867015,3345.5036630036134,2243791
2023-10-03,3323.4189453125,3342.665949831353,3291.4980077975183,3342.665949831353,1948148
2023-10-04,3346.023681640625,3355.7181888095365,3288.8497806653972,3297.36203086249,1788138
2023-10-05,3394.827392578125,3427.5994639632845,3358.7447707127926,3361.39307255119,2990768
2023-10-06,3425.140625,3437.9563382499805,3381.302669921794,3396.388224458369,2075691
2023-10-09,3441.171875,3479.618780028991,3434.220111520866,3447.508726297345,4233074
2023-10-10,3432.23388671875,3450.2988662385983,3406.177126883669,3442.779757818924,1848148
2023-10-11,3414.263427734375,3452.190323376944,3409.6290728147624,3452.190323376944,2426417
2023-10-12,3350.563720703125,3394.1652209191284,3346.354931906954,3381.255066664783,4241281
2023-10-13,3377.330322265625,3383.1469348638834,3333.9650392494236,3338.694067673891,2890357
2023-10-16,3333.06591796875,3380.923537716013,3328.3842269263446,3372.7424125060297,1671104
2023-10-17,3316.987548828125,3342.6187418350314,3313.488114318349,3338.693740990612,1672065
2023-10-18,3298.260498046875,3331.789259566091,3295.1866299219478,3320.723380498266,1408245
2023-10-19,3276.829833984375,3296.9329793982606,3273.2738858343305,3289.9632284213567,1514545
2023-10-20,3313.71728515625,3318.4110908049693,3265.8305127357185,3271.8517798685193,1481211
2023-10-23,3233.684814453125,3298.924665925999,3225.292914465402,3293.282606983661,1106272
2023-10-25,3214.67236328125,3247.766298066017,3202.439761531741,3215.0515718519214,1518537
2023-10-26,3164.0830078125,3199.1209077577855,3157.6823004467296,3193.7633712322263,1984471
2023-10-27,3177.5478515625,3188.0260918899003,3164.319770564128,3176.6470576535294,1108851
2023-10-30,3203.719970703125,3207.7975045879466,3161.238193300146,3176.6473033537277,910972
2023-10-31,3194.4267578125,3223.11140625,3176.6944759889084,3223.11140625,999811
2023-11-01,3158.298095703125,3197.129233068577,3139.6650207860202,3181.3881439858346,1563475
2023-11-02,3186.224365234375,3201.2540333957804,3170.198753812231,3170.198753812231,1245384
2023-11-03,3177.50048828125,3212.585844899684,3171.2421581670574,3206.9912455011868,1402598
2023-11-06,3205.33203125,3216.7585255882636,3185.181656081281,3200.35370326714,1099852
2023-11-07,3196.0390625,3227.995140148388,3191.8193832353413,3203.1984184696917,1191144
2023-11-08,3206.564697265625,3225.9089641664814,3195.18566226346,3196.9872502026456,992899
2023-11-09,3174.22900390625,3215.9995888748977,3169.1085310424833,3214.672127467861,2112352
2023-11-10,3160.953369140625,3174.228908841592,3150.427901567654,3165.2679658448474,1338557
2023-11-13,3159.152099609375,3182.3368374785077,3154.837502470499,3182.3368374785077,1030990
2023-11-15,3228.1376953125,3236.3874500117004,3182.3844886136826,3208.034778256093,2059802
2023-11-16,3316.846435546875,3346.716401326636,3237.524943071945,3252.554843852836,3951984
2023-11-17,3321.208251953125,3342.117274250342,3311.820641047624,3316.8464276110644,2021292
2023-11-20,3337.470703125,3351.030533185444,3310.587643193994,3310.587643193994,1475621
2023-11-21,3328.557373046875,3355.9145625524966,3319.8334924330106,3337.4710894515033,1807236
2023-11-22,3347.474853515625,3349.8454857452175,3300.963234376662,3318.88512142956,1798051
2023-11-23,3326.70849609375,3360.6085399148433,3318.885409058113,3347.332998278611,2729804
2023-11-24,3278.205322265625,3323.199877840785,3274.3173926197233,3313.4328262848157,1989733
2023-11-28,3290.579833984375,3301.1055341791257,3255.35233000702,3278.2053183724934,1689195
2023-11-29,3331.923583984375,3335.9536587568928,3295.9374331994227,3300.8683019137984,1441634
2023-11-30,3307.126953125,3334.6735150515265,3300.8683912942124,3318.3636112436993,3266235
2023-12-01,3329.932373046875,3334.958159973904,3309.4502482693606,3318.8853188028297,1172141
2023-12-04,3330.69091796875,3364.2117512474415,3316.98870959502,3361.224615649316,1625213
2023-12-05,3348.850341796875,3354.9190683113966,3321.5406094673735,3354.9190683113966,1377656
2023-12-06,3417.5986328125,3425.895846326785,3342.733875383664,3349.7985452386283,1896572
2023-12-07,3427.83935546875,3442.6796524305582,3405.839934234335,3418.451744252406,1967653
2023-12-08,3439.02880859375,3456.381883280356,3415.6544667870103,3445.002848273671,1641155
2023-12-11,3454.390380859375,3463.967827707981,3427.9342176743367,3435.4253229469305,1102503
2023-12-12,3482.07958984375,3507.018456073914,3443.1063027918103,3450.64486709552,2236866
2023-12-13,3407.59423828125,3461.1230679206947,3378.6250660277906,3455.006883047287,3850968
2023-12-14,3477.480224609375,3487.673942630931,3439.8820921373363,3442.157806348635,3290396
2023-12-15,3661.204345703125,3694.345737340675,3476.9587660243214,3476.9587660243214,8531230
2023-12-18,3659.49755859375,3725.6856575541797,3631.950765447862,3658.4546193042174,2521612
2023-12-19,3618.72265625,3655.6098328171565,3593.87847667047,3646.0323859625214,2004435
2023-12-20,3584.443359375,3697.0483893157384,3571.6419454448946,3629.2008491847714,2586083
2023-12-21,3591.5078125,3609.7142216441343,3549.642540106947,3561.874909756601,1517562
2023-12-22,3626.119384765625,3646.9334913134794,3567.3277001799897,3603.361313313121,2413058
2023-12-26,3599.14111328125,3635.6013886790356,3594.020409040858,3622.1837035954127,1285231
2023-12-27,3613.9814453125,3620.619215684377,3573.0169658903283,3602.4128061086403,1293976
2023-12-28,3603.26611328125,3639.3946414861102,3595.8699258439583,3626.119100844942,1682889
2023-12-29,3597.102783203125,3624.791955590084,3570.551699604621,3595.7753216260303,1574996
2024-01-01,3613.886962890625,3633.70535723094,3577.75843236752,3593.8787327518953,825907
2024-01-02,3587.43017578125,3613.8865694951905,3572.3055889566763,3613.8865694951905,1344068
2024-01-03,3500.71240234375,3576.667547002565,3496.2556603222715,3572.068428151664,1803075
2024-01-04,3477.053466796875,3526.5522174164516,3462.0710260251317,3510.194856364977,3598144
2024-01-05,3544.474365234375,3553.8147487517995,3484.687206057707,3484.829351387596,1963127
2024-01-08,3487.958984375,3546.2290837236465,3482.3641528859644,3544.4747231069414,1067805
2024-01-09,3498.958251953125,3558.1768302364985,3492.1783363813142,3517.9707687302525,1370944
2024-01-10,3520.910400390625,3536.2720507365116,3497.1566194586726,3499.053125217598,1292227
2024-01-11,3542.246337890625,3577.75836440848,3515.17366998734,3531.2939700655124,1777909
2024-01-12,3681.87646484375,3703.1646964851307,3623.843432744319,3648.8772170987218,6813450
2024-01-15,3701.78955078125,3759.8225793489855,3683.9623507618685,3755.0813150622907,2801505
2024-01-16,3661.489013671875,3697.2381021359224,3656.036559430459,3697.2381021359224,1432672
2024-01-17,3683.583251953125,3707.621323698518,3615.261585245189,3621.377770055813,3458696
2024-01-18,3700.651611328125,3706.530732611429,3662.152453573808,3696.289555678587,2239110
2024-01-19,3765.056884765625,3784.6314945681647,3738.3208323524004,3766.918813220428,2941975
2024-01-23,3684.084716796875,3756.319706507699,3669.284402377034,3723.950079830963,2618854
2024-01-24,3668.377685546875,3708.338398449399,3633.8118332357167,3704.8532560312447,2657709
2024-01-25,3638.299560546875,3686.7108687652694,3608.12592069105,3666.5632491430715,2205154
2024-01-29,3629.41943359375,3647.561756466226,3610.179116005899,3629.228508398019,1646747
2024-01-30,3628.98974609375,3674.1068379093945,3616.0513588538565,3635.5781805395054,1411621
2024-01-31,3643.694580078125,3660.929833665502,3625.0748274029875,3639.158999298284,2459358
2024-02-01,3680.170166015625,3728.629266117496,3633.2867233259526,3647.561820475824,2363107
2024-02-02,3787.257568359375,3804.540377619733,3697.2143116152224,3700.1266783968517,2826510
2024-02-05,3793.94140625,3840.4429940895147,3783.2470318063965,3803.2034921577665,1691523
2024-02-06,3949.297119140625,3962.569566984558,3809.887694722218,3816.5717082217307,4474396
2024-02-07,3899.0712890625,3967.439289195261,3890.047917808523,3965.529571125853,2124267
2024-02-08,3947.483154296875,3970.304193861152,3901.60212727005,3905.3737741443265,2345173
2024-02-09,3947.101318359375,3995.8466897853227,3914.9223796212013,3949.822293850928,2100596
2024-02-12,3934.68798828125,3971.831913158721,3920.221500261139,3943.567991208639,1013716
2024-02-13,3962.187744140625,3981.7623552395244,3897.257326836959,3939.2235698107565,1257415
2024-02-14,3915.017822265625,3929.149550208251,3866.7018593831967,3921.6062566950955,1391283
2024-02-15,3917.977783203125,3959.1318346649314,3898.6894441790746,3941.6581008011804,1091582
2024-02-16,3941.944580078125,3960.707934118615,3915.0178335842274,3927.5741373230317,1307556
2024-02-19,3918.550537109375,3941.944584755052,3871.953600131452,3936.931574545264,772291
2024-02-20,3848.70263671875,3913.01248865656,3828.9848900714505,3897.830322614707,1193648
2024-02-21,3811.320068359375,3879.92678741508,3800.91219749732,3831.8495388516026,1885939
2024-02-22,3902.605224609375,3910.100729639962,3791.745975541615,3791.745975541615,2982052
2024-02-23,3869.1845703125,3943.567999377252,3863.7416870619977,3943.567999377252,2538072
2024-02-26,3820.439208984375,3867.1795172666157,3802.9652400971886,3853.811489305694,1379284
2024-02-27,3919.12353515625,3937.838866469874,3818.4814808469996,3818.4814808469996,2960475
2024-02-28,3933.016845703125,3967.343748590396,3904.418630839975,3910.720793778206,1939225
2024-02-29,3910.24365234375,3951.3025942599716,3881.072659776966,3913.9675096416795,3772719
2024-03-01,3909.527099609375,3953.1163203771775,3902.3178674252918,3921.7971311947285,2043265
2024-03-04,3896.493408203125,3932.014119419607,3891.9100379868287,3919.6965305132107,1749271
2024-03-05,3830.989990234375,3880.547080419936,3800.3389222616497,3878.637362368548,2070859
2024-03-06,3880.83349609375,3888.1858637996515,3779.7615772850945,3813.754651071175,1744204
2024-03-07,3923.13427734375,3937.8390145575218,3855.4346258005844,3881.5023264249094,2688905
2024-03-11,3936.263671875,3965.5300112892123,3904.4190262849966,3904.4190262849966,2304068
